country,ccode,rcode,srcode,cow,xdth,libdem,cpi,stfail,polity5,regime,polsys,fed,elesys,parorg,ctp,ctp1,ctp2,mog,mog6,gdppc,agr,sarsmers,airpm,smoke,sbpsev,prev509,hspbed,age65,temp,hlthsys,ppl,goveff,vax
Laos,LAO,4,13,812,242.37579,9,29,0,-7,1,NA,0,0,1.1601,NA,NA,NA,Centralized,Centralized,7886.652814,15.16733022,0,16.25525117,0.278899165,7.120824542,2741.774293,0.971510512,4.080535845,24.63613506,22,0,-0.785342813,206.904
Latvia,LVA,6,16,367,573.0649406,73.6,57,0,8,3,2,0,2,1.0507,3.0507,173.8899,173.8899,Centripetal,Centripetal,31012.1351,3.99516798,0,29.13201199,0.337220141,10.97504846,1293.33979,6.307978414,14.71813725,7.110060765,60.6,0,1.104713202,155.9
Lebanon,LBN,5,15,660,324.8899027,28.6,25,0,6,1,1,0,1,1.2496,NA,NA,31.24,Centralized,Centralized,14563.68296,3.075363001,0,54.42451847,0.358351306,8.125534792,2723.117737,3.08353995,4.529233677,17.54408616,21.6,0,-0.833451807,85.192
Lesotho,LSO,1,3,570,134.0480178,49.7,41,0,8,2,2,0,2,0.9429,2.9429,120.6589,120.6589,Centripetal,Centripetal,2583.924371,4.731201111,0,20.70930117,0.212142723,8.428483911,2815.338876,1.268301517,4.435204715,14.20181402,27.2,0,-0.832648158,58.793
Liberia,LBR,1,4,450,60.60424123,47.7,28,0,7,2,0,0,0,0.9136,-1.0864,-30.4192,-30.4192,Decentralized,Somewhat decentralized,1469.763959,36.43715132,0,6.965444257,0.082646517,10.00298078,1520.435548,0.721055587,2.990416102,26.3150879,36.4,0,-1.37494266,88.196
Libya,LBY,1,5,620,457.2457902,15.3,17,1,-77,0,NA,NA,1,0.7658,NA,NA,NA,Anarchic,Anarchic,15174.16252,4.089,0,68.38092124,0.206812717,11.0288376,2460.98036,4.257148505,5.060043304,21.10790284,13,0,-1.922290802,54.417
Lithuania,LTU,6,16,368,887.7168693,76,60,0,10,3,1,0,1,0.8811,0.8811,52.866,52.866,Centripetal,Centripetal,37166.21008,3.106485957,0,29.36450037,0.286087496,12.76574909,1544.905727,7.010268702,14.55131289,7.62276567,59.9,0,1.043069243,162.1
Luxembourg,LUX,6,18,212,46.23639546,78.3,80,0,10,3,2,0,0,1.0098,1.0098,80.784,80.784,Centripetal,Centripetal,116518.2768,0.218743042,0,26.77506816,0.23787093,9.118854473,3361.994433,4.820181443,13.07621123,10.71629937,36.7,0,1.733295798,213.4
Madagascar,MDG,1,3,580,125.1333284,26.9,25,0,6,1,1,0,1,0.9727,NA,NA,24.3175,Centralized,Centralized,1618.617973,22.95625201,0,8.648871014,0.136059363,8.025690949,2171.045673,0.35583248,2.503106843,22.14177511,15.8,0,-1.142614841,9.08
Malawi,MWI,1,3,553,115.4506318,44.9,30,0,6,2,0,0,0,0.9464,-1.0536,-31.608,-31.608,Decentralized,Somewhat decentralized,1537.141177,23.00254031,0,9.604685204,0.128594986,12.46614859,1492.501562,1.184062418,2.905979269,22.41789818,22.3,0,-0.749698818,35.946
Malaysia,MYS,4,13,820,112.0530591,28.4,51,0,7,1,2,2,0,1.0183,NA,NA,-50.0667,Centralized,Centralized,28421.46324,7.239764281,1,34.93145883,0.224675935,9.862728078,2057.230399,1.770192586,6.69109476,26.68288207,36.6,0,0.997467577,223.996
Maldives,MDV,4,12,781,227.7713436,43.9,43,NA,NA,2,0,0,0,1.0394,-0.9606,-41.3058,-41.3058,Decentralized,Somewhat decentralized,19510.49184,4.606999863,0,16.41778635,0.31435767,8.334422603,3199.877144,2.801892237,3.541408505,6.756560502,18.8,0,-0.196180224,176.011
Mali,MLI,1,4,432,61.20754659,31.7,30,1,5,0,NA,0,1,0.8452,NA,NA,NA,Anarchic,Anarchic,2321.702199,37.30779732,0,11.88816625,0.122067979,6.547372237,2326.897887,0.259969186,3.135117949,28.89948395,17.3,0,-1.05611515,23.273
Malta,MLT,6,19,338,182.3011209,61.2,53,NA,NA,3,2,0,0,1.1701,1.1701,62.0153,62.0153,Centripetal,Centripetal,43950.61856,0.711852931,0,33.46168676,0.244934428,8.807351325,2329.091491,5.005315846,18.93009475,19.71331768,26.4,0,0.858118594,248.7
Mauritania,MRT,1,4,435,150.3580751,18.5,29,0,-2,1,NA,0,1,1.292,NA,NA,NA,Centralized,Centralized,5343.997921,21.67694751,0,31.48914289,0.183054961,8.813559601,1715.339933,0.45196904,4.233599943,29.04621341,21,0,-0.498379081,87.457
Mauritius,MUS,1,3,590,192.2459543,50.4,53,0,10,2,2,0,1,1.2351,2.2351,118.4603,118.4603,Centripetal,Centripetal,22869.75631,2.897919535,0,32.44879267,0.23119991,7.546096712,1984.592248,2.783700406,10.31519636,24.16131329,23.1,0,0.870399117,205.465
Mexico,MEX,2,7,70,526.9476097,40.7,31,0,8,2,0,2,1,1.0202,-1.9798,-61.3738,-61.3738,Decentralized,Decentralized,19677.27534,3.3935732,0,33.37449407,0.176641074,6.033883978,2247.205674,1.535039536,7.277749306,20.60311823,54.7,1,-0.156786993,174.558
Moldova,MDA,6,17,359,597.6277948,46.7,34,0,9,2,2,0,1,1.0686,2.0686,70.3324,70.3324,Centripetal,Centripetal,13026.51602,10.17111872,0,31.1681473,0.235850502,12.13486777,1930.88724,5.641574325,11.35887586,11.12888833,48.3,0,-0.383752942,56.4
Mongolia,MNG,4,11,712,48.57835027,50.3,35,0,10,2,1,0,1,0.9232,0.9232,32.312,32.312,Centripetal,Somewhat centripetal,12486.07746,11.55838286,0,37.92050701,0.292181389,9.4068092,1266.198357,5.618957315,3.235747177,0.241524924,24.3,0,-0.195434153,172.861
Montenegro,MNE,6,16,341,641.8097646,34.7,45,0,9,1,1,0,2,1.174,NA,NA,97.83,Centralized,Centralized,21533.93209,6.393841926,0,30.98918173,0.349645509,9.498522586,1245.21266,3.812713257,12.97033439,10.85352088,41.7,0,0.155442879,83.4
